year	teamID	finalTeamID	teamName
1985	WSB	WAS	Washington Bullets
1986	ATL	ATL	Atlanta Hawks
1986	BOS	BOS	Boston Celtics
1986	CHI	CHI	Chicago Bulls
1986	CLE	CLE	Cleveland Cavaliers
1986	DAL	DAL	Dallas Mavericks
1986	DEN	DEN	Denver Nuggets
1986	DET	DET	Detroit Pistons
1986	GSW	GSW	Golden State Warriors
1986	HOU	HOU	Houston Rockets
1986	IND	IND	Indiana Pacers
1986	LAC	LAC	Los Angeles Clippers
1986	LAL	LAL	Los Angeles Lakers
1986	MIL	MIL	Milwaukee Bucks
1986	NJN	NJN	New Jersey Nets
1986	NYK	NYK	New York Knicks
1986	PHI	PHI	Philadelphia 76ers
1986	PHO	PHO	Phoenix Suns
1986	POR	POR	Portland Trail Blazers
1986	SAC	SAC	Sacramento Kings
1986	SAS	SAS	San Antonio Spurs
1986	SEA	OKC	Seattle SuperSonics
1986	UTA	UTA	Utah Jazz
1986	WSB	WAS	Washington Bullets
1987	ATL	ATL	Atlanta Hawks
1987	BOS	BOS	Boston Celtics
1987	CHI	CHI	Chicago Bulls
1987	CLE	CLE	Cleveland Cavaliers
1987	DAL	DAL	Dallas Mavericks
1987	DEN	DEN	Denver Nuggets
1987	DET	DET	Detroit Pistons
1987	GSW	GSW	Golden State Warriors
1987	HOU	HOU	Houston Rockets
1987	IND	IND	Indiana Pacers
1987	LAC	LAC	Los Angeles Clippers
1987	LAL	LAL	Los Angeles Lakers
1987	MIL	MIL	Milwaukee Bucks
1987	NJN	NJN	New Jersey Nets
1987	NYK	NYK	New York Knicks
1987	PHI	PHI	Philadelphia 76ers
1987	PHO	PHO	Phoenix Suns
1987	POR	POR	Portland Trail Blazers
1987	SAC	SAC	Sacramento Kings
1987	SAS	SAS	San Antonio Spurs
1987	SEA	OKC	Seattle SuperSonics
1987	UTA	UTA	Utah Jazz
1987	WSB	WAS	Washington Bullets
1988	ATL	ATL	Atlanta Hawks
1988	BOS	BOS	Boston Celtics
1988	CHI	CHI	Chicago Bulls
1988	CLE	CLE	Cleveland Cavaliers
1988	DAL	DAL	Dallas Mavericks
1988	DEN	DEN	Denver Nuggets
1988	DET	DET	Detroit Pistons
1988	GSW	GSW	Golden State Warriors
1988	HOU	HOU	Houston Rockets
1988	IND	IND	Indiana Pacers
1988	LAC	LAC	Los Angeles Clippers
1988	LAL	LAL	Los Angeles Lakers
